indicator,dbi_dimension,coverage,international_validation,vietnam_validation,international_shap,vietnam_shap,indicator_priority
emotional_exhaustion,Psychological Symptoms,Common,True,True,True,False,Core Indicator
stress_level,Psychological Symptoms,International Only,True,False,True,False,Dataset-specific Indicator
mental_fatigue,Psychological Symptoms,International Only,True,False,True,False,Dataset-specific Indicator
digital_exhaustion,Psychological Symptoms,Vietnam Only,False,True,False,False,Dataset-specific Indicator
digital_stress,Psychological Symptoms,Vietnam Only,False,True,False,False,Dataset-specific Indicator
loss_of_interest,Psychological Symptoms,Vietnam Only,False,True,False,False,Dataset-specific Indicator
daily_screen_time,Digital Exposure,Common,True,True,True,True,Core Indicator
social_media_hours,Digital Exposure,Common,True,True,True,True,Core Indicator
doomscrolling_duration,Digital Exposure,Common,True,True,True,True,Core Indicator
late_night_device_usage,Digital Exposure,Common,True,True,True,True,Core Indicator
notification_count,Digital Exposure,Common,True,True,True,True,Core Indicator
smartphone_unlocks,Digital Exposure,Common,True,True,True,True,Core Indicator
app_switch_frequency,Digital Exposure,Common,True,True,True,True,Core Indicator
meeting_hours,Digital Exposure,International Only,True,False,True,False,Dataset-specific Indicator
concentration_score,Cognitive Performance,Common,True,True,True,True,Core Indicator
distraction_frequency,Cognitive Performance,Common,True,True,True,True,Core Indicator
focus_sessions,Cognitive Performance,Common,True,True,True,True,Core Indicator
deep_work_hours,Cognitive Performance,Common,True,True,True,True,Core Indicator
task_completion_rate,Cognitive Performance,Common,True,True,True,True,Core Indicator
motivation_level,Cognitive Performance,Common,True,True,True,True,Core Indicator
performance_decline,Cognitive Performance,Vietnam Only,False,True,False,False,Dataset-specific Indicator
work_satisfaction,Cognitive Performance,International Only,True,False,True,False,Dataset-specific Indicator
sleep_hours,Sleep & Recovery,Common,True,True,True,True,Core Indicator
sleep_quality,Sleep & Recovery,Common,True,True,True,True,Core Indicator
physical_activity,Sleep & Recovery,International Only,True,False,True,False,Dataset-specific Indicator
physical_fatigue,Sleep & Recovery,Vietnam Only,False,True,False,False,Dataset-specific Indicator
caffeine_intake,Sleep & Recovery,International Only,True,False,True,False,Dataset-specific Indicator
age,Context Variables,International Only,True,False,True,False,Dataset-specific Indicator
workspace_quality,Context Variables,International Only,True,False,True,False,Dataset-specific Indicator
internet_stability,Context Variables,International Only,True,False,True,False,Dataset-specific Indicator
remote_work_days,Context Variables,International Only,True,False,True,False,Dataset-specific Indicator
