gender,birth_year,education_stage,work_mode,device_usage_type,daily_screen_time,social_media_hours,doomscrolling_duration,late_night_device_usage,notification_count,smartphone_unlocks,app_switch_frequency,concentration_score,distraction_frequency,focus_sessions,deep_work_hours,task_completion_rate,sleep_hours,sleep_quality,motivation_level,emotional_exhaustion,stress_level,mental_fatigue,DE01_indicator_score,DE02_indicator_score,DE04_indicator_score,DE05_indicator_score,PS02_indicator_score,CP03_indicator_score,CP02_indicator_score,CP04_indicator_score,SR01_indicator_score,SR05_indicator_score,PS03_indicator_score,PS04_indicator_score,psychological_symptoms_score,digital_exposure_score,cognitive_performance_score,sleep_and_recovery_score,digital_burnout_score,dbi_level
Nam,2006 - 2008,Sinh viên đại học / cao đẳng (năm 3-4+),Hoàn toàn trực tiếp (đến trường / văn phòng ≥ 4 ngày/tuần),"Chủ yếu để giải trí (mạng xã hội, game, xem phim)",2,2,4,3,0,1,1,1,3,2,0,3,1,1,10,1,1,4,0.5,0.5,0.16666666666666666,1.0,1.0,0.7777777777777778,1.0,0.0,0.75,1.0,0.0,0.75,0.14979863002874003,0.19028212739440992,0.13574549450082235,0.09463732630727152,0.5704635782312438,Low Risk
Nữ,2006 - 2008,Sinh viên đại học / cao đẳng (năm 1-2),"Kết hợp hybrid (2-3 ngày trực tiếp, còn lại online/remote)",Cân bằng cả học lẫn giải trí,3,1,1,1,1,1,2,6,1,1,1,3,3,9,9,5,5,4,0.75,0.5,0.3333333333333333,0.3333333333333333,0.25,0.48148148148148145,0.6666666666666667,0.0,0.25,0.11111111111111116,1.0,0.75,0.26582224925435616,0.1698002905819802,0.08723341775692531,0.024681792254675778,0.5475377498479375,Low Risk
Nữ,2006 - 2008,Sinh viên đại học / cao đẳng (năm 3-4+),Hoàn toàn trực tiếp (đến trường / văn phòng ≥ 4 ngày/tuần),"Chủ yếu để học (LMS, tài liệu, nghiên cứu)",4,2,2,3,3,2,3,7,1,3,2,2,3,8,6,5,5,5,1.0,0.8333333333333333,0.8333333333333333,1.0,0.5,0.22222222222222224,0.33333333333333337,0.33333333333333337,0.25,0.22222222222222232,1.0,1.0,0.30519288459132504,0.31157805285544704,0.052698582343324855,0.02811378384521648,0.6975833036353133,Medium Risk
Nữ,2006 - 2008,Sinh viên đại học / cao đẳng (năm 1-2),"Tự do, không cố định lịch trình",Cân bằng cả học lẫn giải trí,3,2,1,3,1,1,1,6,1,3,1,3,1,4,8,4,5,3,0.75,0.5,0.3333333333333333,1.0,0.25,0.25925925925925924,0.6666666666666667,0.0,0.75,0.6666666666666667,0.875,0.5,0.23175286402533118,0.23442955680135535,0.06765194629518775,0.08434135153564942,0.6181757186575236,Medium Risk
Nữ,2009 - 2012,Học sinh THPT,Hoàn toàn trực tiếp (đến trường / văn phòng ≥ 4 ngày/tuần),"Chủ yếu để giải trí (mạng xã hội, game, xem phim)",4,3,4,3,2,1,1,7,1,2,1,0,3,8,4,2,2,4,1.0,0.6666666666666666,0.5,1.0,1.0,0.3333333333333333,0.6666666666666667,1.0,0.25,0.22222222222222232,0.25,0.75,0.20256957784851912,0.2839629618520581,0.10632009170912127,0.02811378384521648,0.6209664152549149,Medium Risk
Nam,2006 - 2008,Sinh viên đại học / cao đẳng (năm 3-4+),Hoàn toàn trực tiếp (đến trường / văn phòng ≥ 4 ngày/tuần),Cân bằng cả học lẫn giải trí,4,3,4,3,1,2,1,7,1,3,3,2,3,8,8,5,1,3,1.0,0.6666666666666666,0.5,1.0,1.0,0.22222222222222224,0.0,0.33333333333333337,0.25,0.22222222222222232,0.5,0.5,0.2476566143491628,0.2839629618520581,0.030295134215077887,0.02811378384521648,0.5900284942615153,Low Risk
Nữ,2006 - 2008,Sinh viên đại học / cao đẳng (năm 1-2),Hoàn toàn trực tiếp (đến trường / văn phòng ≥ 4 ngày/tuần),Cân bằng cả học lẫn giải trí,3,3,3,1,0,2,0,7,1,1,1,1,4,9,7,3,2,2,0.75,0.5,0.3333333333333333,0.3333333333333333,0.75,0.4444444444444445,0.6666666666666667,0.6666666666666667,0.0,0.11111111111111116,0.375,0.25,0.18190050510230435,0.1698002905819802,0.10539716468664971,0.0034319915905407015,0.460529951961475,Low Risk
Nữ,2006 - 2008,Sinh viên đại học / cao đẳng (năm 1-2),Hoàn toàn trực tiếp (đến trường / văn phòng ≥ 4 ngày/tuần),Cân bằng cả học lẫn giải trí,3,1,3,3,0,1,1,3,1,2,0,1,1,4,7,4,4,4,0.75,0.3333333333333333,0.16666666666666666,1.0,0.75,0.48148148148148157,1.0,0.6666666666666667,0.75,0.6666666666666667,0.75,0.75,0.27642474947024387,0.21792902347778217,0.13106419139185294,0.08434135153564942,0.7097593158755284,High Risk
Nữ,2009 - 2012,Học sinh THPT,"Tự do, không cố định lịch trình",Cân bằng cả học lẫn giải trí,2,2,0,3,3,1,0,5,1,1,1,2,3,9,8,3,5,5,0.5,0.3333333333333333,0.6666666666666666,1.0,0.0,0.5185185185185185,0.6666666666666667,0.33333333333333337,0.25,0.11111111111111116,0.75,1.0,0.1890484887358791,0.21823982479009976,0.10121065908722189,0.024681792254675778,0.5331807648678766,Low Risk
Nữ,2006 - 2008,Học sinh THPT,"Tự do, không cố định lịch trình","Chủ yếu để giải trí (mạng xã hội, game, xem phim)",4,3,4,3,3,3,3,1,3,0,0,0,0,1,1,5,5,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3685663326269919,0.3280785861790202,0.1874679542225809,0.1158871269714066,0.9999999999999996,High Risk
