iter	Logloss
0	0.677560125
5	0.6188276875
10	0.5820265
15	0.5576163125
20	0.5407908125
25	0.528349375
30	0.5188347813
35	0.5112156875
40	0.5050342187
45	0.4999727187
50	0.4958205312
55	0.4919192813
60	0.4886783125
65	0.4858509062
70	0.4833043125
75	0.481080375
80	0.4790436875
85	0.477192125
90	0.4756495
95	0.4741645313
100	0.4728662813
105	0.4716965312
110	0.4706484062
115	0.4696974688
120	0.4688644687
125	0.4680624688
130	0.4673587188
135	0.4666988125
140	0.46611375
145	0.4655715938
150	0.4650884062
155	0.4646384375
160	0.4642170937
165	0.4638417188
170	0.4635115
175	0.4631761563
180	0.4628969063
185	0.46263025
190	0.4623803437
195	0.4621585625
199	0.462000625
