iter	Passed	Remaining
0	147	29256
1	202	20061
2	256	16818
3	307	15058
4	355	13845
5	403	13050
6	451	12438
7	498	11959
8	545	11577
9	594	11298
10	643	11055
11	691	10833
12	739	10642
13	786	10444
14	834	10293
15	883	10164
16	933	10052
17	985	9966
18	1036	9871
19	1083	9749
20	1133	9658
21	1179	9541
22	1227	9446
23	1274	9344
24	1322	9258
25	1371	9180
26	1419	9097
27	1467	9014
28	1514	8932
29	1563	8858
30	1610	8779
31	1658	8704
32	1706	8633
33	1753	8562
34	1800	8489
35	1849	8427
36	1898	8364
37	1945	8295
38	1992	8226
39	2040	8161
40	2090	8105
41	2136	8037
42	2184	7974
43	2231	7912
44	2278	7847
45	2327	7790
46	2372	7724
47	2418	7658
48	2465	7598
49	2513	7540
50	2561	7482
51	2607	7420
52	2653	7360
53	2701	7303
54	2748	7245
55	2794	7185
56	2839	7123
57	2886	7066
58	2934	7011
59	2978	6950
60	3023	6890
61	3069	6831
62	3115	6774
63	3161	6718
64	3208	6664
65	3256	6612
66	3302	6556
67	3347	6498
68	3392	6440
69	3438	6386
70	3487	6337
71	3534	6282
72	3579	6228
73	3629	6179
74	3675	6125
75	3721	6072
76	3769	6020
77	3814	5966
78	3860	5913
79	3906	5860
80	3957	5813
81	4002	5759
82	4048	5706
83	4093	5653
84	4140	5601
85	4188	5551
86	4235	5500
87	4279	5447
88	4327	5396
89	4373	5345
90	4421	5295
91	4468	5245
92	4513	5193
93	4560	5143
94	4608	5093
95	4654	5042
96	4700	4991
97	4746	4939
98	4793	4890
99	4837	4837
100	4884	4787
101	4931	4737
102	4977	4687
103	5023	4636
104	5068	4586
105	5120	4540
106	5165	4489
107	5210	4438
108	5256	4388
109	5304	4339
110	5352	4291
111	5399	4242
112	5445	4192
113	5492	4143
114	5539	4094
115	5586	4045
116	5630	3994
117	5677	3945
118	5722	3894
119	5766	3844
120	5814	3796
121	5858	3745
122	5904	3696
123	5949	3646
124	5997	3598
125	6043	3549
126	6088	3499
127	6135	3451
128	6181	3402
129	6228	3353
130	6274	3304
131	6319	3255
132	6364	3206
133	6409	3157
134	6455	3108
135	6500	3059
136	6545	3010
137	6591	2961
138	6636	2912
139	6681	2863
140	6728	2815
141	6775	2767
142	6822	2719
143	6867	2670
144	6911	2621
145	6959	2574
146	7005	2525
147	7051	2477
148	7097	2429
149	7142	2380
150	7188	2332
151	7234	2284
152	7279	2236
153	7326	2188
154	7372	2140
155	7420	2092
156	7464	2044
157	7509	1996
158	7553	1947
159	7599	1899
160	7647	1852
161	7694	1804
162	7738	1756
163	7784	1708
164	7830	1660
165	7879	1613
166	7925	1566
167	7970	1518
168	8017	1470
169	8091	1427
170	8171	1385
171	8238	1341
172	8286	1293
173	8329	1244
174	8375	1196
175	8423	1148
176	8467	1100
177	8510	1051
178	8554	1003
179	8601	955
180	8673	910
181	8749	865
182	8799	817
183	8845	769
184	8892	721
185	8940	672
186	8984	624
187	9029	576
188	9074	528
189	9120	480
190	9167	431
191	9209	383
192	9254	335
193	9300	287
194	9344	239
195	9390	191
196	9434	143
197	9479	95
198	9525	47
199	9572	0
