feature,mean_shap,mean_abs_shap
emotional_exhaustion,-0.2557032,0.7613387
stress_level,-0.1463013,0.5652972
work_satisfaction,-0.05963002,0.36578408
daily_screen_time,-0.045926962,0.29301935
doomscrolling_duration,-0.0361479,0.27108157
late_night_device_usage,-0.02003714,0.24573205
distraction_frequency,-0.019225039,0.2182741
sleep_hours,-0.012257783,0.16975106
physical_activity,-0.008846247,0.14991505
notification_count,-0.006727683,0.13861725
deep_work_hours,-0.0028221211,0.07772335
smartphone_unlocks,-5.1917148e-05,0.0060171136
task_completion_rate,-7.3814386e-05,0.0051848134
social_media_hours,-0.00016794946,0.005105888
app_switch_frequency,-4.3275304e-05,0.0050684866
meeting_hours,-6.0202834e-05,0.0047086147
age,-5.4212152e-05,0.0044988664
sleep_quality,-6.1393125e-06,0.0034619763
motivation_level,-1.6881428e-05,0.0032092922
concentration_score,5.4193692e-06,0.0031871642
workspace_quality,-1.6241745e-05,0.0031682604
remote_work_days,-4.7484697e-05,0.003149438
internet_stability,3.6488756e-05,0.003124215
focus_sessions,-3.4712466e-05,0.002869166
caffeine_intake,-9.67714e-06,0.002793404
mental_fatigue,1.1999963e-06,0.0025934263
